,course_name,course_rating,earn_skills,course_link,institution
0,Google Cybersecurity,4.8," Network Security, Python Programming, Linux, Cloud Computing, Algorithms, Computer Programming, Computer Security Incident Management, Cryptography, Databases, Leadership and Management, Network Architecture, Risk Management, SQL",https://www.coursera.org/professional-certificates/google-cybersecurity,Google
1,Google Data Analytics,4.8," Data Analysis, R Programming, SQL, Business Communication, Spreadsheet Software, Business Analysis, Data Visualization, Data Management, General Statistics, Big Data, Communication, Computer Programming, Data Science, Data Visualization Software, Databases, Exploratory Data Analysis, Extract, Transform, Load, Leadership and Management, Microsoft Excel, Problem Solving, Small Data, Statistical Programming, Tableau Software",https://www.coursera.org/professional-certificates/google-data-analytics,Google
2,Google Project Management:,4.8," Project Management, Strategy and Operations, Leadership and Management, Communication, Business Communication, Collaboration, Agile Software Development, Software Engineering, Entrepreneurship, Scrum (Software Development), Planning, Supply Chain and Logistics, Change Management, Finance, Organizational Development, Product Management, Risk Management, Budget Management, Influencing, Culture, Emotional Intelligence, People Management, Problem Solving, Procurement",https://www.coursera.org/professional-certificates/google-project-management,Google
3,IBM Data Science,4.6," Python Programming, Machine Learning, Data Science, Data Analysis, Algorithms, Data Analysis Software, Data Management, Data Visualization, Human Learning, R Programming, Computational Thinking, Computer Programming, Database Application, Databases, Deep Learning, Exploratory Data Analysis, Machine Learning Algorithms, Plot (Graphics), Professional Development, SQL, Data Model, Statistical Machine Learning, General Statistics, Probability & Statistics, Regression, Reinforcement Learning, Big Data, Cloud Computing, Data Mining, IBM Cloud, Writing",https://www.coursera.org/professional-certificates/ibm-data-science,IBM
4,Google Digital Marketing & E-commerce,4.8," Digital Marketing, Marketing, Marketing Management, Media Strategy & Planning, Sales, E-Commerce, Data Analysis, Social Media, Search Engine Optimization, Advertising, Communication, Persona Research, Strategy, Web Design, Web Development, Web Development Tools, Writing, Data Management, Market Analysis",https://www.coursera.org/professional-certificates/google-digital-marketing-ecommerce,Google
5,IBM Data Analyst,4.6," Python Programming, Microsoft Excel, Data Visualization, Data Analysis, Spreadsheet Software, Data Management, Data Structures, Databases, Exploratory Data Analysis, SQL, Plot (Graphics), Business Analysis, Data Analysis Software, Machine Learning, Computational Thinking, Computer Programming, Database Application, Professional Development, Statistical Visualization, Data Mining, Data Science, General Statistics, NoSQL, R Programming, Cloud Computing, Data Visualization Software, IBM Cloud, Interactive Data Visualization, Machine Learning Algorithms, Probability & Statistics, Regression",https://www.coursera.org/professional-certificates/ibm-data-analyst,IBM
6,Google IT Support,4.8," Computer Networking, Network Architecture, Network Model, Networking Hardware, Network Analysis, Computer Architecture, Critical Thinking, Problem Solving, Communication, Human Computer Interaction, Network Security, Linux, System Security, Cloud Computing, Computer Programming, Customer Support, Cryptography, Leadership and Management, Operating Systems",https://www.coursera.org/professional-certificates/google-it-support,Google
7,Google UX Design,4.8," User Experience, User Experience Design, User Research, Audit, Collaboration, Human Computer Interaction, Planning, Product Design, Product Development, Social Media, Web Design, Web Development Tools",https://www.coursera.org/professional-certificates/google-ux-design,Google
8,Machine Learning,4.9," Machine Learning, Machine Learning Algorithms, Applied Machine Learning, Algorithms, Deep Learning, Machine Learning Software, Artificial Neural Networks, Human Learning, Statistical Machine Learning, Python Programming, Regression, Mathematics, Tensorflow, Critical Thinking, Network Model, Reinforcement Learning",https://www.coursera.org/specializations/machine-learning-introduction,Multiple educators
9,Introduction to Data Science,4.6," Data Science, Python Programming, Data Analysis, Data Analysis Software, Data Management, R Programming, Computational Thinking, Computer Programming, Database Application, Databases, Professional Development, SQL, Data Model, Machine Learning, Statistical Machine Learning, Big Data, Cloud Computing, Data Mining, Deep Learning, IBM Cloud, Regression, Writing",https://www.coursera.org/specializations/introduction-data-science,IBM
